ingredient_id,ingredient_name,unit
1,Flavouring Vanilla Artificial 1,pieces
2,Sage Ground Wiberg 2,pieces
3,Scallops - U - 10 3,grams
4,Muffin Batt - Blueberry Passion 4,ml
5,Oil - Coconut 5,liters
6,Gatorade - Xfactor Berry 6,liters
7,"Thyme - Lemon, Fresh 7",ml
8,Carbonated Water - Blackberry 8,grams
9,Mousse - Passion Fruit 9,grams
10,Water - Green Tea Refresher 10,kg
11,Buffalo - Striploin 11,liters
12,Red Cod Fillets - 225g 12,grams
13,Foam Dinner Plate 13,liters
14,Pepper - Red Bell 14,kg
15,Mushroom - King Eryingii 15,pieces
16,Glaze - Apricot 16,liters
17,Cinnamon - Ground 17,ml
18,Carbonated Water - Strawberry 18,grams
19,Bread - Corn Muffaleta Onion 19,liters
20,Soupcontfoam16oz 116con 20,pieces
21,"Roe - Lump Fish, Black 21",pieces
22,"Rum - Cream, Amarula 22",oz
23,Calypso - Strawberry Lemonade 23,liters
24,Oil - Shortening - All - Purpose 24,oz
25,Apples - Sliced / Wedge 25,pieces
26,"Salmon - Smoked, Sliced 26",kg
27,Wiberg Cure 27,kg
28,"Pasta - Linguini, Dry 28",pieces
29,Lobster - Tail 6 Oz 29,pieces
30,Table Cloth 62x114 Colour 30,pieces
31,Vinegar - Sherry 31,grams
32,Soup Knorr Chili With Beans 32,oz
33,Orange Roughy 6/8 Oz 33,grams
34,Oats Large Flake 34,pieces
35,Honey - Liquid 35,grams
36,Cape Capensis - Fillet 36,ml
37,Yeast Dry - Fermipan 37,pieces
38,Honey - Liquid 38,pieces
39,"Asparagus - Green, Fresh 39",ml
40,Ham - Black Forest 40,ml
41,"Artichokes - Knobless, White 41",grams
42,"Cheese - Cheddar, Mild 42",pieces
43,"Mushroom - Chanterelle, Dry 43",kg
44,Hummus - Spread 44,pieces
45,Grapes - Black 45,ml
46,Beef - Eye Of Round 46,ml
47,Cassis 47,ml
48,Chicken - Livers 48,oz
49,"Lettuce - Romaine, Heart 49",kg
50,Table Cloth 62x120 Colour 50,ml
51,"Wine - Magnotta, White 51",pieces
52,"Octopus - Baby, Cleaned 52",kg
53,"Wine - Mas Chicet Rose, Vintage 53",grams
54,Truffle - Whole Black Peeled 54,oz
55,Beef - Tenderloin 55,liters
56,Mushroom - Chanterelle Frozen 56,grams
57,"Squash - Pattypan, Yellow 57",ml
58,Bar Bran Honey Nut 58,pieces
59,"Pepper - Black, Ground 59",kg
60,Blueberries 60,oz
61,"Soup - Knorr, Veg / Beef 61",oz
62,Onions - Red 62,pieces
63,Ecolab - Solid Fusion 63,kg
64,Honey - Comb 64,liters
65,Turkey Leg With Drum And Thigh 65,grams
66,Cranberry Foccacia 66,grams
67,Wine - Fino Tio Pepe Gonzalez 67,oz
68,Wine - Sauvignon Blanc Oyster 68,ml
69,Corn Kernels - Frozen 69,oz
70,Potato - Sweet 70,pieces
71,Silicone Parch. 16.3x24.3 71,ml
72,Dragon Fruit 72,grams
73,Oranges 73,ml
74,Currants 74,ml
75,Broom - Angled 75,oz
76,Milk - Skim 76,liters
77,"Cake Circle, Paprus 77",liters
78,Turnip - Mini 78,liters
79,Paper Towel Touchless 79,liters
80,Squash - Guords 80,ml
81,Coffee - Almond Amaretto 81,kg
82,Butter - Pod 82,kg
83,Chef Hat 20cm 83,ml
84,Rabbit - Whole 84,kg
85,Mushroom - Chanterelle Frozen 85,pieces
86,Chinese Foods - Plain Fried Rice 86,ml
87,Soup - Campbells - Chicken Noodle 87,ml
88,Bread - Crusty Italian Poly 88,kg
89,Veal - Bones 89,ml
90,Water - Green Tea Refresher 90,kg
91,Beef - Ground Lean Fresh 91,liters
92,Olives - Morracan Dired 92,pieces
93,Oxtail - Cut 93,pieces
94,Bread - Italian Sesame Poly 94,pieces
95,Fondant - Icing 95,ml
96,"Water - Spring Water, 355 Ml 96",oz
97,Pastry - Choclate Baked 97,ml
98,Soup - Campbells Beef Noodle 98,oz
99,Wine - Taylors Reserve 99,liters
100,"Beets - Candy Cane, Organic 100",grams
101,Pectin 101,ml
102,"Beans - Navy, Dry 102",pieces
103,Chocolate - Feathers 103,grams
104,Sprouts Dikon 104,kg
105,Flour - Semolina 105,oz
106,Cream Of Tartar 106,liters
107,Sloe Gin - Mcguinness 107,grams
108,Juice Peach Nectar 108,oz
109,Muffin Mix - Morning Glory 109,grams
110,Flavouring - Raspberry 110,liters
111,Spinach - Spinach Leaf 111,ml
112,Wine - Touraine Azay - Le - Rideau 112,liters
113,Coffee - Ristretto Coffee Capsule 113,ml
114,Energy Drink Bawls 114,grams
115,Flour - Strong Pizza 115,grams
116,Ginger - Fresh 116,ml
117,Bagel - Sesame Seed Presliced 117,kg
118,"Rum - Dark, Bacardi, Black 118",ml
119,The Pop Shoppe - Cream Soda 119,pieces
120,Cinnamon Rolls 120,oz
121,"Bread - Roll, Soft White Round 121",kg
122,Cheese - Bocconcini 122,ml
123,Veal Inside - Provimi 123,pieces
124,Mustard Prepared 124,oz
125,Trueblue - Blueberry 125,grams
126,Garbag Bags - Black 126,oz
127,Island Oasis - Pina Colada 127,liters
128,Magnotta - Bel Paese White 128,oz
129,Vodka - Moskovskaya 129,liters
130,Wine - Alsace Riesling Reserve 130,liters
131,Creamers - 10% 131,oz
132,Beef Striploin Aaa 132,oz
133,"Pasta - Cappellini, Dry 133",ml
134,Bread - Dark Rye 134,kg
135,Longos - Chicken Cordon Bleu 135,oz
136,Bananas 136,oz
137,Squash - Butternut 137,liters
138,Spaghetti Squash 138,oz
139,Cheese - Augre Des Champs 139,kg
140,Squid - Breaded 140,oz
141,Chicken - Ground 141,pieces
142,Beef - Top Sirloin 142,ml
143,Pepper - Chili Powder 143,grams
144,Bag - Clear 7 Lb 144,oz
145,Cheese - Augre Des Champs 145,pieces
146,"Bread - Bagels, Mini 146",kg
147,Cinnamon Rolls 147,grams
148,"Soup - Knorr, French Onion 148",pieces
149,Rice - Sushi 149,oz
150,"Wine - Red, Pinot Noir, Chateau 150",grams
151,Carbonated Water - Raspberry 151,liters
152,"Pork - Ham, Virginia 152",kg
153,"Cheese - Boursin, Garlic / Herbs 153",oz
154,Bamboo Shoots - Sliced 154,oz
155,"Gin - Gilbeys London, Dry 155",kg
156,Pork - Ground 156,ml
157,"Wine - White, Ej 157",pieces
158,Pineapple - Golden 158,kg
159,Huck White Towels 159,ml
